PromptNum,Input,Vibe,Relevancy,Accuracy,TrackCount
128,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
129,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,5
130,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
131,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
132,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,100.0,7
133,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
134,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,70.0,100.0,10
135,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,95.0,100.0,20
136,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
137,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,5
138,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
139,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,60.0,100.0,20
140,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,100.0,100.0,50
141,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
142,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
143,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
144,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,50
145,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
146,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
147,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
148,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
149,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
150,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,100.0,100.0,10
151,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
152,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
153,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
154,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
155,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,75.0,100.0,20
156,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
157,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,5
158,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
159,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,60.0,100.0,20
160,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,95.0,100.0,50
161,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,90.0,100.0,5
162,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,10
163,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
164,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,50
165,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
166,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,65.0,100.0,10
167,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,50.0,100.0,20
168,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
169,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
170,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,65.0,100.0,10
171,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
172,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,50
173,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,93.0,100.0,5
174,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,10
175,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
176,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
177,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,5
178,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,10
179,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,20
180,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,50
181,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,90.0,100.0,5
182,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,10
183,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
184,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
185,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
186,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,90.0,100.0,10
187,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
188,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
189,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
190,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,10
191,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,85.0,100.0,20
192,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,50
193,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
194,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,10
195,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
196,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
197,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,5
198,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,10
199,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,93.0,100.0,20
200,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,50
201,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
202,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,10
203,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,65.0,100.0,20
204,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,50
205,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,5
206,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,65.0,100.0,10
207,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,35.0,100.0,20
208,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
209,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,90.0,100.0,5
210,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,65.0,100.0,10
211,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
212,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,50
213,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
214,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,10
215,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
216,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,70.0,100.0,50
217,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,93.0,100.0,5
218,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,10
219,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,20
220,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,50
221,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,5
222,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,35.0,100.0,10
223,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
224,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
225,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,5
226,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,75.0,100.0,10
227,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
228,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
229,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,5
230,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,10
231,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,20
232,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,60.0,100.0,50
233,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,83.0,100.0,5
234,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,10
235,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,90.0,100.0,20
236,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,50
237,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,5
238,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,100.0,100.0,10
239,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,20
240,"full bhangra session, shaadi wali raat, Diljit Dosanjh energy",desi,95.0,100.0,50
241,"3am coding, dark room, chai getting cold, lofi study beats",chill,75.0,100.0,5
242,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,9
243,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,20
244,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
245,"3am coding, dark room, chai getting cold, lofi study beats",chill,75.0,100.0,5
246,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,10
247,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,0
248,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,50
249,"3am coding, dark room, chai getting cold, lofi study beats",chill,65.0,100.0,5
250,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,10
251,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,20
252,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,48
253,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,5
254,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,10
255,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,20
256,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
257,"3am coding, dark room, chai getting cold, lofi study beats",chill,90.0,100.0,4
258,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,10
259,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,20
260,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
261,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,5
262,"3am coding, dark room, chai getting cold, lofi study beats",chill,90.0,100.0,9
263,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,20
264,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
265,"3am coding, dark room, chai getting cold, lofi study beats",chill,75.0,100.0,5
266,"3am coding, dark room, chai getting cold, lofi study beats",chill,80.0,100.0,10
267,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,19
268,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
269,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,5
270,"3am coding, dark room, chai getting cold, lofi study beats",chill,80.0,100.0,10
271,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,20
272,"3am coding, dark room, chai getting cold, lofi study beats",chill,85.0,100.0,48
273,"3am coding, dark room, chai getting cold, lofi study beats",chill,75.0,100.0,5
274,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,10
275,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,20
276,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
277,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,80.0,5
278,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,10
279,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,20
280,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
281,"3am coding, dark room, chai getting cold, lofi study beats",chill,85.0,100.0,5
282,"3am coding, dark room, chai getting cold, lofi study beats",chill,90.0,100.0,9
283,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,20
284,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,50
285,"3am coding, dark room, chai getting cold, lofi study beats",chill,85.0,100.0,5
286,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,10
287,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,0
288,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,50
289,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,5
290,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,10
291,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,20
292,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,48
293,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,5
294,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,10
295,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,20
296,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,50
297,"3am coding, dark room, chai getting cold, lofi study beats",chill,95.0,100.0,4
298,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,10
299,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,20
300,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,50
301,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,5
302,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,0
303,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,20
304,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,50
305,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,5
306,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,10
307,"3am coding, dark room, chai getting cold, lofi study beats",chill,100.0,100.0,19
308,"3am coding, dark room, chai getting cold, lofi study beats",chill,50.0,100.0,50
309,"3am coding, dark room, chai getting cold, lofi study beats",chill,93.0,100.0,5
310,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,10
311,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,20
312,"3am coding, dark room, chai getting cold, lofi study beats",chill,65.0,100.0,48
313,"3am coding, dark room, chai getting cold, lofi study beats",chill,35.0,100.0,5
314,"3am coding, dark room, chai getting cold, lofi study beats",chill,70.0,100.0,10
315,"3am coding, dark room, chai getting cold, lofi study beats",chill,60.0,100.0,20
316,"3am coding, dark room, chai getting cold, lofi study beats",chill,95.0,100.0,50
